Teatr Bagatela;5:43:33
Batorego;5:45:39
Plac Inwalidów;5:46:47
;
05:29 - 14 (Bronowice - Mistrzejowice);
Urzędnicza;5:29:1
Plac Inwalidów;5:30:53
Batorego;5:32:11
Teatr Bagatela;5:33:46
Basztowa LOT;5:36:18
Dworzec Główny;5:38:11
Lubicz;5:40:17
Rondo Mogilskie;5:43:36
Rondo Grzegórzeckie;5:47:34
Teatr Variete;5:48:21
Francesco Nullo;5:49:28
;
05:30 - 18 (Czerwone Maki - Krowodrza Górka);
Centrum Kongresowe ICE;5:30:1
Orzeszkowej;5:31:52
Stradom;5:32:54
Wawel;5:34:44
Świętej Gertrudy;5:36:23
Plac Wszystkich Świętych;5:37:47
Filharmonia;5:39:1
Teatr Bagatela;5:41:36
Basztowa LOT;5:44:3
Pędzichów;5:45:52
Nowy Kleparz;5:47:33
Dworzec Towarowy;5:49:38
;
05:38 - 2 (Cmentarz Rakowicki - Salwator);
Lubicz;5:38:1
Dworzec Główny;5:40:7
Basztowa LOT;5:42:16
Teatr Bagatela;5:45:5
Filharmonia;5:47:37
;
05:25 - 1 (Salwator - Wzgórza Krzesławickie);
Jubilat;5:25:1
Filharmonia;5:27:3
Plac Wszystkich Świętych;5:28:44
Poczta Główna;5:30:17
Starowiślna;5:42:19
Hala Targowa;5:43:19
Rondo Grzegórzeckie;5:48:45
Teatr Variete;5:49:32
Francesco Nullo;5:50:38
;
05:35 - 13 (Nowy Bieżanów - Bronowice Małe);
Plac Wolnica;5:35:1
Stradom;5:36:14
Wawel;5:38:23
Świętej Gertrudy;5:40:0
Plac Wszystkich Świętych;5:41:27
Filharmonia;5:42:39
Teatr Bagatela;5:45:4
Batorego;5:47:41
Plac Inwalidów;5:48:51
Urzędnicza;5:50:49
;
05:36 - 8 (Bronowice Małe - Borek Fałęcki);
Urzędnicza;5:36:2
Plac Inwalidów;5:37:53
Batorego;5:39:12
Teatr Bagatela;5:40:47
Filharmonia;5:43:31
Plac Wszystkich Świętych;5:45:12
Świętej Gertrudy;5:47:7
Wawel;5:48:45
Stradom;5:49:53
;
05:36 - 1 (Salwator - Wzgórza Krzesławickie);
Jubilat;5:36:2
Filharmonia;5:38:2
Plac Wszystkich Świętych;5:39:43
Poczta Główna;5:41:21
Starowiślna;5:44:20
Hala Targowa;5:45:22
Rondo Grzegórzeckie;5:49:57
Teatr Variete;5:50:45
;
05:42 - 2 (Salwator - Cmentarz Rakowicki);
Jubilat;5:42:1
Filharmonia;5:44:3
Teatr Bagatela;5:46:50
Basztowa LOT;5:49:4
Dworzec Główny;5:51:4
Lubicz;5:53:3
;
05:28 - 1 (Wzgórza Krzesławickie - Salwator);
Francesco Nullo;5:28:1
Teatr Variete;5:29:27
Rondo Grzegórzeckie;5:32:24
Hala Targowa;5:34:39
Starowiślna;5:42:47
Poczta Główna;5:46:28
Plac Wszystkich Świętych;5:50:13
Filharmonia;5:51:26
Jubilat;5:53:35
;
05:38 - 4 (Wzgórza Krzesławickie  - Bronowice Małe);
Cystersów;5:38:1
Rondo Mogilskie;5:40:18
Lubicz;5:42:38
Dworzec Główny;5:44:41
Basztowa LOT;5:46:56
Teatr Bagatela;5:49:18
Batorego;5:51:23
Plac Inwalidów;5:52:32
;
05:36 - 52 (Czerwone Maki - Os.Piastów);
Centrum Kongresowe ICE;5:36:2
Orzeszkowej;5:37:52
Stradom;5:38:56
Starowiślna;5:43:38
Poczta Główna;5:44:38
Dworzec Główny;5:47:5
Lubicz;5:49:7
